epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6174,2.1579,3.7168,2.38459,0.00354,0.58333,0.07559,0.02429,1.71191,3.347,2.33448,0.000547118,0.000547118,0.000547118
2,23.0969,1.89759,3.45069,2.14994,0.2363,0.29167,0.22535,0.06087,1.86178,3.08146,2.28803,0.00106639,0.00106639,0.00106639
3,31.8737,1.87344,3.26518,2.11274,0.29268,0.33333,0.1752,0.05574,1.99886,3.80723,2.45545,0.00154899,0.00154899,0.00154899
4,42.3402,1.91,3.21776,2.20484,0.05353,0.22917,0.04851,0.01418,2.64054,3.8945,3.29834,0.00150197,0.00150197,0.00150197
5,52.974,1.99258,3.05067,2.19835,0.21853,0.14583,0.16453,0.06342,2.17518,6.14617,2.73678,0.00144696,0.00144696,0.00144696
6,63.1093,1.99177,3.14061,2.21753,0.36932,0.27083,0.22412,0.08719,2.06348,3.17952,2.41648,0.00139195,0.00139195,0.00139195
7,71.698,2.01561,3.08463,2.19739,0.24212,0.33333,0.25364,0.11409,2.07648,2.90266,2.40999,0.00133693,0.00133693,0.00133693
8,80.1143,1.96077,3.10557,2.19485,0.16737,0.33333,0.17597,0.07541,2.13445,3.88355,2.45896,0.00128192,0.00128192,0.00128192
9,88.6217,1.85263,2.90906,2.07927,0.25832,0.3125,0.19086,0.0688,2.12706,4.75372,2.53252,0.00122691,0.00122691,0.00122691
10,97.113,1.95038,3.00619,2.16103,0.30748,0.33333,0.29896,0.12985,1.94888,3.19617,2.27538,0.0011719,0.0011719,0.0011719
11,105.34,1.84189,2.80326,2.06349,0.50138,0.39583,0.31594,0.1694,1.76749,2.78095,2.17588,0.00111689,0.00111689,0.00111689
12,113.727,1.80135,2.88248,2.03152,0.55356,0.40618,0.35916,0.16895,1.97867,2.5461,2.28832,0.00106188,0.00106188,0.00106188
13,122.447,1.84419,2.774,2.04711,0.48416,0.3125,0.35567,0.14569,2.0298,2.92941,2.40087,0.00100687,0.00100687,0.00100687
14,131.091,1.83605,2.72039,2.06187,0.20338,0.375,0.24306,0.11035,2.07782,3.58854,2.39844,0.000951857,0.000951857,0.000951857
15,139.48,1.73784,2.69809,1.89851,0.19734,0.33333,0.17195,0.10091,2.06211,3.11562,2.35092,0.000896846,0.000896846,0.000896846
16,147.862,1.74222,2.5706,1.91863,0.28479,0.39583,0.25418,0.12301,1.84358,2.96363,2.28029,0.000841835,0.000841835,0.000841835
17,156.435,1.77692,2.73638,1.93178,0.40052,0.3125,0.30523,0.14383,1.94963,2.86673,2.31449,0.000786824,0.000786824,0.000786824
18,164.751,1.71403,2.57008,1.93618,0.43545,0.3125,0.28169,0.13907,2.04311,2.57156,2.33843,0.000731813,0.000731813,0.000731813
19,173.119,1.73737,2.44429,1.92463,0.28164,0.41667,0.27456,0.11259,2.13536,2.7658,2.53035,0.000676802,0.000676802,0.000676802
20,181.68,1.70812,2.49156,1.91375,0.19644,0.33333,0.22296,0.08419,2.16175,2.85404,2.57206,0.000621791,0.000621791,0.000621791
21,189.948,1.77977,2.74715,2.10004,0.23082,0.3125,0.23661,0.08892,2.06083,2.83493,2.44497,0.00056678,0.00056678,0.00056678
22,198.398,1.72498,2.59318,2.05508,0.34539,0.19303,0.29555,0.09547,2.14723,2.76731,2.44201,0.000511769,0.000511769,0.000511769
23,207.068,1.63619,2.49292,1.98476,0.2342,0.38851,0.32978,0.12196,2.04281,2.66411,2.37353,0.000456758,0.000456758,0.000456758
24,215.587,1.6221,2.41545,1.93226,0.30268,0.4375,0.35041,0.13892,2.06318,2.59674,2.34827,0.000401747,0.000401747,0.000401747
25,223.96,1.57489,2.37461,1.94381,0.33674,0.33333,0.34173,0.1336,1.92203,2.60471,2.32248,0.000346736,0.000346736,0.000346736
26,232.191,1.53249,2.40034,1.92993,0.29918,0.27083,0.28288,0.09892,2.01395,2.93099,2.42144,0.000291725,0.000291725,0.000291725
27,240.477,1.52103,2.37513,1.89367,0.36435,0.3125,0.26536,0.09663,2.0799,2.84133,2.46237,0.000236714,0.000236714,0.000236714
28,248.871,1.48894,2.2866,1.88818,0.40275,0.3125,0.2686,0.10983,2.07134,2.63788,2.43791,0.000181703,0.000181703,0.000181703
29,257.233,1.43772,2.25972,1.82995,0.40336,0.27083,0.32313,0.1396,2.00998,2.46211,2.36185,0.000126692,0.000126692,0.000126692
30,265.421,1.47958,2.24487,1.87552,0.37984,0.3125,0.3391,0.13823,2.00073,2.54895,2.34181,7.1681e-05,7.1681e-05,7.1681e-05
1,115.125,1.75083,2.87289,1.93619,0.27402,0.18527,0.15335,0.06733,1.91664,2.62985,2.22865,0.000475542,0.000475542,0.000475542
1,111.607,1.75083,2.87289,1.93619,0.27402,0.18527,0.15335,0.06733,1.91664,2.62985,2.22865,0.000475542,0.000475542,0.000475542
